"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2"
"80","S22",5,1,0.00896147480727668,0.00230119348093521,1,46,1,1,557.943877266722,434.557114942633,992.500992209354,0.562159515855709,1,"FV1 vs FV2"
"85","S22",5,4,0.00896147480727668,0.00230119348093521,1,46,1,1,557.943877266722,1738.22845977053,2296.17233703725,0.242988676532283,1,"FV1 vs FV2"
"90","S22",6,6,0.00896147480727668,0.00230119348093521,1,46,1,1,669.532652720066,2607.3426896558,3276.87534237586,0.204320452493817,1,"FV1 vs FV2"
"95","S22",7,9,0.00896147480727668,0.00230119348093521,1,46,1,1,781.12142817341,3911.01403448369,4692.1354626571,0.166474611483418,1,"FV1 vs FV2"
"100","S22",7,4,0.00896147480727668,0.00230119348093521,1,46,1,1,781.12142817341,1738.22845977053,2519.34988794394,0.310048807397248,1,"FV1 vs FV2"
"105","S22",16,17,0.00896147480727668,0.00230119348093521,1,46,1,1,1785.42040725351,7387.47095402475,9172.89136127826,0.194640962912779,1,"FV1 vs FV2"
"110","S22",21,27,0.00896147480727668,0.00230119348093521,1,46,1,1,2343.36428452023,11733.0421034511,14076.4063879713,0.166474611483418,1,"FV1 vs FV2"
"115","S22",18,15,0.00896147480727668,0.00230119348093521,1,46,1,1,2008.5979581602,6518.35672413949,8526.95468229969,0.235558652883386,1,"FV1 vs FV2"
"120","S22",19,13,0.00896147480727668,0.00230119348093521,1,46,1,1,2120.18673361354,5649.24249425422,7769.42922786777,0.272888351438836,1,"FV1 vs FV2"
"125","S22",19,16,0.00896147480727668,0.00230119348093521,1,46,1,1,2120.18673361354,6952.91383908212,9073.10057269566,0.233678301769736,1,"FV1 vs FV2"
"130","S22",14,25,0.00896147480727668,0.00230119348093521,1,46,1,1,1562.24285634682,10863.9278735658,12426.1707299126,0.125721985501627,1,"FV1 vs FV2"
"135","S22",11,5,0.00896147480727668,0.00230119348093521,1,46,1,1,1227.47652998679,2172.78557471316,3400.26210469995,0.360994679877804,1,"FV1 vs FV2"
"140","S22",3,3,0.00896147480727668,0.00230119348093521,1,46,1,1,334.766326360033,1303.6713448279,1638.43767118793,0.204320452493817,1,"FV1 vs FV2"
"120","1",0,1,0.00645332545157323,0.00226363769797769,1,51.95,1,1,0,441.766807865671,441.766807865671,0,1,"FV1 vs FV2"
"130","1",0,2,0.00645332545157323,0.00226363769797769,1,51.95,1,1,0,883.533615731343,883.533615731343,0,1,"FV1 vs FV2"
"130","54",0,1,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,238.74352858059,238.74352858059,0,1,"FV1 vs FV2"
"135","54",0,4,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,954.974114322361,954.974114322361,0,1,"FV1 vs FV2"
"140","54",0,3,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,716.230585741771,716.230585741771,0,1,"FV1 vs FV2"
"145","54",0,4,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,954.974114322361,954.974114322361,0,1,"FV1 vs FV2"
"150","54",0,2,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,477.48705716118,477.48705716118,0,1,"FV1 vs FV2"
"155","54",0,2,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,477.48705716118,477.48705716118,0,1,"FV1 vs FV2"
"60","S30",1,0,0.00517297649004451,0.00224158493206719,1,46.5,1,1,193.312303259935,0,193.312303259935,1,1,"FV1 vs FV2"
"75","S30",0,2,0.00517297649004451,0.00224158493206719,1,46.5,1,1,0,892.225840470654,892.225840470654,0,1,"FV1 vs FV2"
"80","S30",1,2,0.00517297649004451,0.00224158493206719,1,46.5,1,1,193.312303259935,892.225840470654,1085.53814373059,0.178079696578504,1,"FV1 vs FV2"
"85","S30",5,6,0.00517297649004451,0.00224158493206719,1,46.5,1,1,966.561516299677,2676.67752141196,3643.23903771164,0.26530279959527,1,"FV1 vs FV2"
"90","S30",4,10,0.00517297649004451,0.00224158493206719,1,46.5,1,1,773.249213039741,4461.12920235327,5234.37841539301,0.147725126400072,1,"FV1 vs FV2"
"95","S30",6,1,0.00517297649004451,0.00224158493206719,1,46.5,1,1,1159.87381955961,446.112920235327,1605.98673979494,0.722218802197402,1,"FV1 vs FV2"
"100","S30",14,1,0.00517297649004451,0.00224158493206719,1,46.5,1,1,2706.3722456391,446.112920235327,3152.48516587442,0.858488495024659,1,"FV1 vs FV2"
"105","S30",23,11,0.00517297649004451,0.00224158493206719,1,46.5,1,1,4446.18297497851,4907.2421225886,9353.42509756711,0.475353459144607,1,"FV1 vs FV2"
"110","S30",15,15,0.00517297649004451,0.00224158493206719,1,46.5,1,1,2899.68454889903,6691.69380352991,9591.37835242894,0.302321985678389,1,"FV1 vs FV2"
"115","S30",11,10,0.00517297649004451,0.00224158493206719,1,46.5,1,1,2126.43533585929,4461.12920235327,6587.56453821256,0.322795370508243,1,"FV1 vs FV2"
"120","S30",7,4,0.00517297649004451,0.00224158493206719,1,46.5,1,1,1353.18612281955,1784.45168094131,3137.63780376086,0.431275439503432,1,"FV1 vs FV2"
"125","S30",19,0,0.00517297649004451,0.00224158493206719,1,46.5,1,1,3672.93376193877,0,3672.93376193877,1,1,"FV1 vs FV2"
"130","S30",20,5,0.00517297649004451,0.00224158493206719,1,46.5,1,1,3866.24606519871,2230.56460117664,6096.81066637534,0.63414238636629,1,"FV1 vs FV2"
"135","S30",15,2,0.00517297649004451,0.00224158493206719,1,46.5,1,1,2899.68454889903,892.225840470654,3791.91038936968,0.764702814978978,1,"FV1 vs FV2"
"140","S30",13,11,0.00517297649004451,0.00224158493206719,1,46.5,1,1,2513.05994237916,4907.2421225886,7420.30206496776,0.338673536518635,1,"FV1 vs FV2"
"145","S30",2,8,0.00517297649004451,0.00224158493206719,1,46.5,1,1,386.624606519871,3568.90336188262,3955.52796840249,0.0977428574916678,1,"FV1 vs FV2"
"150","S30",0,2,0.00517297649004451,0.00224158493206719,1,46.5,1,1,0,892.225840470654,892.225840470654,0,1,"FV1 vs FV2"
"90","S33",1,0,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,719.556040783035,0,719.556040783035,1,1.5,"FV1 vs FV2"
"95","S33",1,1,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,719.556040783035,799.842868702382,1519.39890948542,0.473579411101941,1.5,"FV1 vs FV2"
"100","S33",5,4,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,3597.78020391518,3199.37147480953,6797.15167872471,0.529307035353697,1.5,"FV1 vs FV2"
"105","S33",2,3,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,1439.11208156607,2399.52860610715,3838.64068767322,0.374901481711325,1.5,"FV1 vs FV2"
"110","S33",14,9,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,10073.7845709625,7198.58581832144,17272.3703892839,0.583231157271409,1.5,"FV1 vs FV2"
"115","S33",9,10,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,6476.00436704732,7998.42868702382,14474.4330540711,0.447409880777738,1.5,"FV1 vs FV2"
"120","S33",15,16,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,10793.3406117455,12797.4858992381,23590.8265109836,0.457522783558273,1.5,"FV1 vs FV2"
"125","S33",25,15,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,17988.9010195759,11997.6430305357,29986.5440501116,0.599899107730253,1.5,"FV1 vs FV2"
"130","S33",11,20,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,7915.11644861339,15996.8573740476,23911.973822661,0.331010585212014,1.5,"FV1 vs FV2"
"135","S33",3,8,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,2158.66812234911,6398.74294961906,8557.41107196816,0.252257149293708,1.5,"FV1 vs FV2"
"140","S33",4,3,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,2878.22416313214,2399.52860610715,5277.75276923929,0.545350320293043,1.5,"FV1 vs FV2"
"145","S33",0,1,0.00138974582009176,0.00125024556588514,1,39.2,2.80577427821522,4.20866141732284,0,799.842868702382,799.842868702382,0,1.5,"FV1 vs FV2"
"90","44",3,0,0.00748118028384907,0.00264731804991357,1,32.7,1,1,401.006243156127,0,401.006243156127,1,1,"FV1 vs FV2"
"95","44",4,0,0.00748118028384907,0.00264731804991357,1,32.7,1,1,534.674990874835,0,534.674990874835,1,1,"FV1 vs FV2"
"100","44",10,0,0.00748118028384907,0.00264731804991357,1,32.7,1,1,1336.68747718709,0,1336.68747718709,1,1,"FV1 vs FV2"
"105","44",15,3,0.00748118028384907,0.00264731804991357,1,32.7,1,1,2005.03121578063,1133.22235690492,3138.25357268556,0.638900321258881,1,"FV1 vs FV2"
"110","44",31,9,0.00748118028384907,0.00264731804991357,1,32.7,1,1,4143.73117927997,3399.66707071478,7543.39824999475,0.549318893415558,1,"FV1 vs FV2"
"115","44",31,9,0.00748118028384907,0.00264731804991357,1,32.7,1,1,4143.73117927997,3399.66707071478,7543.39824999475,0.549318893415558,1,"FV1 vs FV2"
"120","44",42,16,0.00748118028384907,0.00264731804991357,1,32.7,1,1,5614.08740418577,6043.8525701596,11657.9399743454,0.48156770549001,1,"FV1 vs FV2"
