"Length","Station","test","control","areatest","areacont","day","depth","samp_test","samp_cont","cpuetest","cpuecont","cpuetotal","prop","qratio","comp2","cpuetotalN","sl","septh","res"
80,"S22",5,1,0.00896147480727668,0.00230119348093521,1,46,1,1,557.943877266722,434.557114942633,992.500992209354,0.562159515855709,1,"FV1 vs FV2",99.2500992209354,-1.88759847373143,1.13375765559951,2.94773906238748
85,"S22",5,4,0.00896147480727668,0.00230119348093521,1,46,1,1,557.943877266722,1738.22845977053,2296.17233703725,0.242988676532283,1,"FV1 vs FV2",229.617233703725,-1.60979544506453,1.13375765559951,-5.28212901566243
90,"S22",6,6,0.00896147480727668,0.00230119348093521,1,46,1,1,669.532652720066,2607.3426896558,3276.87534237586,0.204320452493817,1,"FV1 vs FV2",327.687534237586,-1.33199241639762,1.13375765559951,-7.77360845518692
95,"S22",7,9,0.00896147480727668,0.00230119348093521,1,46,1,1,781.12142817341,3911.01403448369,4692.1354626571,0.166474611483418,1,"FV1 vs FV2",469.21354626571,-1.05418938773072,1.13375765559951,-11.1581250971876
100,"S22",7,4,0.00896147480727668,0.00230119348093521,1,46,1,1,781.12142817341,1738.22845977053,2519.34988794394,0.310048807397248,1,"FV1 vs FV2",251.934988794394,-0.776386359063818,1.13375765559951,-3.07832668278255
105,"S22",16,17,0.00896147480727668,0.00230119348093521,1,46,1,1,1785.42040725351,7387.47095402475,9172.89136127826,0.194640962912779,1,"FV1 vs FV2",917.289136127826,-0.498583330396915,1.13375765559951,-13.411807352017
110,"S22",21,27,0.00896147480727668,0.00230119348093521,1,46,1,1,2343.36428452023,11733.0421034511,14076.4063879713,0.166474611483418,1,"FV1 vs FV2",1407.64063879713,-0.220780301730012,1.13375765559951,-18.7211365765191
115,"S22",18,15,0.00896147480727668,0.00230119348093521,1,46,1,1,2008.5979581602,6518.35672413949,8526.95468229969,0.235558652883386,1,"FV1 vs FV2",852.695468229969,0.0570227269368907,1.13375765559951,-9.40053885194755
120,"S22",19,13,0.00896147480727668,0.00230119348093521,1,46,1,1,2120.18673361354,5649.24249425422,7769.42922786777,0.272888351438836,1,"FV1 vs FV2",776.942922786777,0.334825755603794,1.13375765559951,-5.85316933683245
125,"S22",19,16,0.00896147480727668,0.00230119348093521,1,46,1,1,2120.18673361354,6952.91383908212,9073.10057269566,0.233678301769736,1,"FV1 vs FV2",907.310057269566,0.612628784270697,1.13375765559951,-7.62363430591894
130,"S22",14,25,0.00896147480727668,0.00230119348093521,1,46,1,1,1562.24285634682,10863.9278735658,12426.1707299126,0.125721985501627,1,"FV1 vs FV2",1242.61707299126,0.8904318129376,1.13375765559951,-16.0471032002987
135,"S22",11,5,0.00896147480727668,0.00230119348093521,1,46,1,1,1227.47652998679,2172.78557471316,3400.26210469995,0.360994679877804,1,"FV1 vs FV2",340.026210469995,1.1682348416045,1.13375765559951,3.03197949572291
140,"S22",3,3,0.00896147480727668,0.00230119348093521,1,46,1,1,334.766326360033,1303.6713448279,1638.43767118793,0.204320452493817,1,"FV1 vs FV2",163.843767118793,1.44603787027141,1.13375765559951,-1.14825810662761
120,"1",0,1,0.00645332545157323,0.00226363769797769,1,51.95,1,1,0,441.766807865671,441.766807865671,0,1,"FV1 vs FV2",44.1766807865671,0.334825755603794,2.07408488472189,-6.41237975685153
130,"1",0,2,0.00645332545157323,0.00226363769797769,1,51.95,1,1,0,883.533615731343,883.533615731343,0,1,"FV1 vs FV2",88.3533615731343,0.8904318129376,2.07408488472189,-8.27915954190448
130,"54",0,1,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,238.74352858059,238.74352858059,0,1,"FV1 vs FV2",23.874352858059,0.8904318129376,2.12149634165243,-4.30368540144995
135,"54",0,4,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,954.974114322361,954.974114322361,0,1,"FV1 vs FV2",95.4974114322361,1.1682348416045,2.12149634165243,-8.00490768009111
140,"54",0,3,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,716.230585741771,716.230585741771,0,1,"FV1 vs FV2",71.6230585741771,1.44603787027141,2.12149634165243,-6.30021940473009
145,"54",0,4,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,954.974114322361,954.974114322361,0,1,"FV1 vs FV2",95.4974114322361,1.72384089893831,2.12149634165243,-6.43355827236615
150,"54",0,2,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,477.48705716118,477.48705716118,0,1,"FV1 vs FV2",47.748705716118,2.00164392760521,2.12149634165243,-3.89789370316887
155,"54",0,2,0.0070023064407742,0.00418859520903177,1,52.25,1,1,0,477.48705716118,477.48705716118,0,1,"FV1 vs FV2",47.748705716118,2.27944695627211,2.12149634165243,-3.22220370600055
60,"S30",1,0,0.00517297649004451,0.00224158493206719,1,46.5,1,1,193.312303259935,0,193.312303259935,1,1,"FV1 vs FV2",19.3312303259935,-2.99881058839904,1.21277675048375,5.14722694347688
75,"S30",0,2,0.00517297649004451,0.00224158493206719,1,46.5,1,1,0,892.225840470654,892.225840470654,0,1,"FV1 vs FV2",89.2225840470654,-2.16540150239833,1.21277675048375,-9.95147509913154
80,"S30",1,2,0.00517297649004451,0.00224158493206719,1,46.5,1,1,193.312303259935,892.225840470654,1085.53814373059,0.178079696578504,1,"FV1 vs FV2",108.553814373059,-1.88759847373143,1.21277675048375,-5.28762691095592
85,"S30",5,6,0.00517297649004451,0.00224158493206719,1,46.5,1,1,966.561516299677,2676.67752141196,3643.23903771164,0.26530279959527,1,"FV1 vs FV2",364.323903771164,-1.60979544506453,1.21277675048375,-5.72338337322863
90,"S30",4,10,0.00517297649004451,0.00224158493206719,1,46.5,1,1,773.249213039741,4461.12920235327,5234.37841539301,0.147725126400072,1,"FV1 vs FV2",523.437841539301,-1.33199241639762,1.21277675048375,-12.870646194051
95,"S30",6,1,0.00517297649004451,0.00224158493206719,1,46.5,1,1,1159.87381955961,446.112920235327,1605.98673979494,0.722218802197402,1,"FV1 vs FV2",160.598673979494,-1.05418938773072,1.21277675048375,8.14567182829989
100,"S30",14,1,0.00517297649004451,0.00224158493206719,1,46.5,1,1,2706.3722456391,446.112920235327,3152.48516587442,0.858488495024659,1,"FV1 vs FV2",315.248516587442,-0.776386359063818,1.21277675048375,16.7355094842165
105,"S30",23,11,0.00517297649004451,0.00224158493206719,1,46.5,1,1,4446.18297497851,4907.2421225886,9353.42509756711,0.475353459144607,1,"FV1 vs FV2",935.342509756711,-0.498583330396915,1.21277675048375,4.57805109502203
110,"S30",15,15,0.00517297649004451,0.00224158493206719,1,46.5,1,1,2899.68454889903,6691.69380352991,9591.37835242894,0.302321985678389,1,"FV1 vs FV2",959.137835242894,-0.220780301730012,1.21277675048375,-6.05406330096436
115,"S30",11,10,0.00517297649004451,0.00224158493206719,1,46.5,1,1,2126.43533585929,4461.12920235327,6587.56453821256,0.322795370508243,1,"FV1 vs FV2",658.756453821256,0.0570227269368907,1.21277675048375,-3.42325112547845
120,"S30",7,4,0.00517297649004451,0.00224158493206719,1,46.5,1,1,1353.18612281955,1784.45168094131,3137.63780376086,0.431275439503432,1,"FV1 vs FV2",313.763780376086,0.334825755603794,1.21277675048375,2.14796479080048
125,"S30",19,0,0.00517297649004451,0.00224158493206719,1,46.5,1,1,3672.93376193877,0,3672.93376193877,1,1,"FV1 vs FV2",367.293376193877,0.612628784270697,1.21277675048375,27.7501325015511
130,"S30",20,5,0.00517297649004451,0.00224158493206719,1,46.5,1,1,3866.24606519871,2230.56460117664,6096.81066637534,0.63414238636629,1,"FV1 vs FV2",609.681066637534,0.8904318129376,1.21277675048375,15.8012043445918
135,"S30",15,2,0.00517297649004451,0.00224158493206719,1,46.5,1,1,2899.68454889903,892.225840470654,3791.91038936968,0.764702814978978,1,"FV1 vs FV2",379.191038936968,1.1682348416045,1.21277675048375,19.3399427843064
